232 trajectories on 4 workers (56 already complete)
[94/232] two-plane-four-peaks s1 vwrs-n peak=0.10 placement 0.0109 end_to_end 0.0168
[95/232] two-plane-four-peaks s1 gpr-var peak=0.10 placement 0.0224 end_to_end 0.0257
[96/232] two-plane-four-peaks s1 vurs peak=0.10 placement 0.0119 end_to_end 0.0180
[97/232] two-plane-four-peaks s1 gpr-u50-g50 peak=0.10 placement 0.0176 end_to_end 0.0199
[98/232] two-plane-four-peaks s2 space-filling peak=0.10 placement 0.0284 end_to_end 0.0311
[99/232] two-plane-four-peaks s1 vurs-n peak=0.10 placement 0.0127 end_to_end 0.0198
[100/232] two-plane-four-peaks s1 vurs-a peak=0.10 placement 0.0160 end_to_end 0.0210
[101/232] two-plane-four-peaks s2 vwrs peak=0.10 placement 0.0142 end_to_end 0.0174
[102/232] two-plane-four-peaks s1 gpr-n peak=0.10 placement 0.0167 end_to_end 0.0208
[103/232] two-plane-four-peaks s2 vwrs-n peak=0.10 placement 0.0117 end_to_end 0.0185
[104/232] two-plane-four-peaks s2 gpr-var peak=0.10 placement 0.0234 end_to_end 0.0273
[105/232] two-plane-four-peaks s2 vurs peak=0.10 placement 0.0128 end_to_end 0.0177
[106/232] two-plane-four-peaks s2 gpr-u50-g50 peak=0.10 placement 0.0184 end_to_end 0.0190
[107/232] three-plane-three-peaks s0 space-filling peak=0.10 placement 0.0229 end_to_end 0.0265
[108/232] two-plane-four-peaks s2 vurs-n peak=0.10 placement 0.0133 end_to_end 0.0170
[109/232] two-plane-four-peaks s2 vurs-a peak=0.10 placement 0.0165 end_to_end 0.0190
[110/232] three-plane-three-peaks s0 vwrs peak=0.10 placement 0.0104 end_to_end 0.0181
[111/232] two-plane-four-peaks s2 gpr-n peak=0.10 placement 0.0165 end_to_end 0.0187
[112/232] three-plane-three-peaks s0 vwrs-n peak=0.10 placement 0.0128 end_to_end 0.0196
[113/232] three-plane-three-peaks s0 gpr-var peak=0.10 placement 0.0210 end_to_end 0.0243
[114/232] three-plane-three-peaks s0 gpr-u50-g50 peak=0.10 placement 0.0176 end_to_end 0.0239
[115/232] three-plane-three-peaks s0 vurs peak=0.10 placement 0.0111 end_to_end 0.0199
[116/232] three-plane-three-peaks s1 space-filling peak=0.10 placement 0.0236 end_to_end 0.0267
[117/232] three-plane-three-peaks s0 vurs-n peak=0.10 placement 0.0093 end_to_end 0.0162
[118/232] three-plane-three-peaks s0 vurs-a peak=0.10 placement 0.0154 end_to_end 0.0212
[119/232] three-plane-three-peaks s1 vwrs peak=0.10 placement 0.0159 end_to_end 0.0215
[120/232] three-plane-three-peaks s0 gpr-n peak=0.10 placement 0.0160 end_to_end 0.0224
[121/232] three-plane-three-peaks s1 gpr-var peak=0.10 placement 0.0183 end_to_end 0.0224
[122/232] three-plane-three-peaks s1 vwrs-n peak=0.10 placement 0.0153 end_to_end 0.0240
[123/232] three-plane-three-peaks s1 vurs peak=0.10 placement 0.0117 end_to_end 0.0180
[124/232] three-plane-three-peaks s1 gpr-u50-g50 peak=0.10 placement 0.0157 end_to_end 0.0211
